symbol,market,was_below_3months,golden_cross_detected,cross_date,ma60_uptrend,ma120_uptrend,currently_above,current_price,ma60_current,ma120_current,ma60_slope,ma120_slope,meets_all_conditions
AAPL,NASDAQ,True,False,,True,False,False,227.17999267578125,206.63800023396809,210.6510348002116,0.2277333831787114,-0.15741607666017113,False
MSFT,NASDAQ,False,False,,True,True,True,521.77001953125,490.0943328857422,442.22426274617516,1.2528780110676792,0.9528924560546226,False
NVDA,NASDAQ,False,False,,True,True,True,182.05999755859375,155.81330947875978,135.13627529144287,0.9178128178914178,0.375075060526512,False
AMZN,NASDAQ,False,False,,True,False,True,221.3000030517578,216.9351676940918,205.6075839996338,0.2633834075927669,-0.053024927775094134,False
ADBE,NASDAQ,True,False,,False,False,False,333.6499938964844,384.2181650797526,388.52808278401693,-0.9150334676107427,-1.0128167470296374,False
GOOG,NASDAQ,False,False,,True,True,True,201.6300048828125,180.17184727986654,172.01940434773763,0.6555757904052589,0.110719019571911,False
PYPL,NASDAQ,False,False,,False,False,True,67.08000183105469,72.54166704813639,70.00954208374023,-0.06511665344239433,-0.07737498601278306,False
GOOGL,NASDAQ,False,False,,True,True,True,201.0,179.12920252482095,170.51573003133137,0.6661879984537646,0.1195748901367181,False
TSLA,NASDAQ,False,False,,True,False,True,339.0299987792969,324.29066569010416,298.0342500050863,0.04068318684893921,-0.20245002746585433,False
META,NASDAQ,False,False,,True,True,True,765.8699951171875,701.8397054036458,646.4614407857259,2.139904988606699,0.3349848937987691,False
PEP,NASDAQ,True,False,,True,True,False,144.8699951171875,134.76739362080892,138.7500727335612,0.2485504404703638,0.02229484558105309,False
AVGO,NASDAQ,False,False,,True,True,True,303.8999938964844,266.3289347330729,227.76089579264323,1.3332602945963334,0.5946397272745413,False
NFLX,NASDAQ,False,False,,True,True,True,1218.31005859375,1224.1448364257812,1110.2035003662108,1.0697839355467371,1.2803502400715467,False
INTC,NASDAQ,False,False,,False,False,False,20.649999618530273,21.377166589101154,21.590499957402546,-0.03136666297912993,-0.0347083282470729,False
CSCO,NASDAQ,False,False,,True,True,True,70.66999816894531,66.57728182474771,62.973104826609294,0.16003514607746935,0.0604245885213175,False
TMUS,NASDAQ,False,False,,True,False,False,248.8699951171875,236.33470153808594,246.25345039367676,0.09587201436359312,-0.15522248586022988,False
CMCSA,NASDAQ,True,False,,False,False,False,31.40999984741211,34.38289337158203,34.54837694168091,-0.04307631810506515,-0.026056191126504195,False
COST,NASDAQ,False,False,,False,False,True,988.739990234375,984.8558319091796,978.5720347086589,-0.40168914794935345,-0.7248862202962526,False
QCOM,NASDAQ,False,False,,False,False,True,147.97000122070312,153.66723200480143,151.21629994710287,-0.049505488077808996,-0.19462407430016154,False
TXN,NASDAQ,False,False,,True,True,True,183.7100067138672,196.19914677937825,183.88838691711425,0.0436909739176256,0.05221177419023106,False
CHTR,NASDAQ,False,False,,False,False,True,258.7699890136719,373.56316528320315,369.4283317565918,-2.4740999348958965,-0.840041580200201,False
AMGN,NASDAQ,False,False,,True,False,False,285.0899963378906,289.9278330485026,292.2160934448242,0.3166352335611434,-0.03689933776858455,False
ADP,NASDAQ,False,False,,False,False,True,303.7200012207031,310.1454762776693,304.59558995564777,-0.0550041707356762,-0.015040156046569835,False
BKNG,NASDAQ,False,False,,True,True,True,5364.25,5530.908146158854,5143.198307291666,4.090446777343759,3.354902750650404,False
MDLZ,NASDAQ,False,False,,False,True,True,61.560001373291016,66.72527872721354,66.02077077229818,-0.042124360402437076,0.015731051762899725,False
GILD,NASDAQ,False,False,,True,True,True,120.47000122070312,110.1887924194336,108.52062657674153,0.2522250239054217,0.09830068588255153,False
REGN,NASDAQ,True,False,,False,False,False,545.9400024414062,546.6361724853516,586.732231648763,-0.11463144938155437,-0.9518616231283121,False
SBUX,NASDAQ,False,False,,True,False,False,91.73999786376953,90.88550008138021,92.15937315622965,0.10916885375975903,-0.17249165217082527,False
ISRG,NASDAQ,False,False,,False,False,True,471.8500061035156,522.1326624552408,520.1367474873861,-1.4492501322428635,-1.0252750396729224,False
INTU,NASDAQ,False,False,,True,True,True,706.0900268554688,755.508578491211,679.1465932210286,1.56851562499995,1.4118079630533082,False
CSX,NASDAQ,False,False,,True,True,True,35.22999954223633,33.15703992843628,31.24488531748454,0.08946649551391277,0.02059229214985822,False
VRTX,NASDAQ,False,False,,False,False,False,374.4599914550781,447.68983256022136,466.2354161580404,-0.9327999369303521,-0.7071916198730466,False
MRVL,NASDAQ,True,False,,True,False,True,77.27999877929688,71.0341900507609,69.26047649383545,0.2070904795328742,-0.24051663080851785,False
BIIB,NASDAQ,True,False,,True,False,False,128.0,129.58466644287108,130.0876668294271,0.11696661631264432,-0.06450000762941648,False
XEL,NASDAQ,False,False,,True,True,True,72.67500305175781,69.67609545389811,69.33664188385009,0.08368375142415338,0.04998121897379019,False
KLAC,NASDAQ,False,False,,True,True,True,910.1799926757812,868.7780741373698,780.473161315918,2.3573956298826175,1.2916713460286617,False
ILMN,NASDAQ,False,False,,True,False,True,94.77999877929688,92.79616724650064,87.18291683197022,0.2584166336059512,-0.05564999262493291,False
KHC,NASDAQ,True,False,,True,False,False,27.43000030517578,26.918177954355876,28.08046210606893,0.0033683681488013294,-0.0056855599085541214,False
CTAS,NASDAQ,False,False,,True,True,True,223.8800048828125,221.77466684977213,212.76150207519532,0.1573891448974285,0.16972410837806645,False
ORLY,NASDAQ,False,False,,True,True,True,103.5999984741211,93.16046727498373,91.99659468332926,0.24398113250731757,0.13019556681314362,False
LRCX,NASDAQ,False,False,,True,True,True,102.0,93.32257512410482,83.61287638346354,0.29577208201089883,0.14058815638224575,False
ADI,NASDAQ,False,False,,True,True,True,224.07000732421875,229.35266621907553,216.45101483662924,0.037722447713195224,0.10579447428383998,False
EXC,NASDAQ,False,False,,True,True,False,44.709999084472656,43.549333000183104,44.00232356389363,0.0304333368937144,0.02599081675211267,False
