symbol,market,was_below_3months,golden_cross_detected,cross_date,ma60_uptrend,ma120_uptrend,currently_above,current_price,ma60_current,ma120_current,ma60_slope,ma120_slope,meets_all_conditions
SCA-B.ST,Stockholm,False,False,,False,False,False,127.3499984741211,125.85416653951009,129.3580523808797,-0.057833353678406696,-0.16596337636313238,False
SKF-B.ST,Stockholm,False,False,,True,True,True,235.8000030517578,220.3016680399577,210.8173002878825,0.45516670227047534,0.08984648386635379,False
SEB-A.ST,Stockholm,False,False,,True,True,True,180.14999389648438,166.87916590372723,161.33165334065754,0.2925832875569481,0.16155366261796955,False
SECU-B.ST,Stockholm,False,False,,True,False,False,148.60000610351562,143.67083409627278,143.67353286743165,0.07033337910968845,-0.050476633707703555,False
SWED-A.ST,Stockholm,False,False,,True,True,True,274.5,255.27666803995768,244.3540946960449,0.28500002543129743,0.3218750508625873,False
WALL-B.ST,Stockholm,False,False,,False,False,True,44.97999954223633,46.25699996948242,45.61436163584391,-0.0464333407084196,-0.019824962615970266,False
VOLV-B.ST,Stockholm,False,False,,True,False,False,293.6000061035156,270.9700002034505,277.2243989308675,0.25050013224278733,-0.2591514587402591,False
SHB-A.ST,Stockholm,False,False,,False,True,True,124.69999694824219,124.25750020345052,122.63916670481363,-0.09341667175295323,0.00046635945635607767,False
TEL2-B.ST,Stockholm,False,False,,True,True,True,160.14999389648438,146.2433329264323,138.31192372639973,0.2986666361490792,0.32094663619992914,False
SINCH.ST,Stockholm,False,False,,True,True,True,29.639999389648438,28.70333325068156,25.573624992370604,0.08479999860127499,0.040591662724811545,False
VOLV-A.ST,Stockholm,False,False,,True,False,False,293.79998779296875,271.3,277.47728640238444,0.24500005086262175,-0.2557884470621959,False
DUST.ST,Stockholm,True,False,,False,False,False,1.6100000143051147,1.8857833325862885,2.5953917066256205,-0.009913333654403875,-0.02152999977270774,False
CAST.ST,Stockholm,False,False,,False,False,True,111.6500015258789,117.40928395589192,114.38114649454752,-0.0497568384806395,-0.04674006779990126,False
ABB.ST,Stockholm,False,False,,True,True,True,639.2000122070312,585.4200002034505,560.6242263793945,1.4316667683918387,0.16437479654938128,False
FABG.ST,Stockholm,False,False,,True,True,True,83.55000305175781,82.42045453389485,81.45502548217773,0.03476061503091187,0.0034491856892832963,False
LIFCO-B.ST,Stockholm,False,False,,False,False,True,344.0,373.20666656494143,368.8214261372884,-0.9970000203450892,-0.4149359893799456,False
HUSQ-B.ST,Stockholm,False,False,,True,False,True,56.84000015258789,51.258499972025554,50.15163237253825,0.10265000025430016,-0.002826938629155602,False
FING-B.ST,Stockholm,True,False,,False,False,False,0.009700000286102295,0.010685000056400894,0.012058333346309761,-5.199999858935804e-05,-4.383333337803909e-05,False
LATO-B.ST,Stockholm,False,False,,False,False,False,247.1999969482422,251.3233329772949,260.5428311665853,-0.3269999440511242,-0.4196003595988102,False
NCC-B.ST,Stockholm,False,True,2025-08-06 00:00:00+02:00,True,True,True,195.5,184.90833282470703,183.71862386067707,0.19216667175292207,0.051147333780901034,False
