ticker,name,market_cap,price,sector,market
MCOV-B.ST,Medicover AB (publ),0,0,Unknown,OMX Stockholm
ASKER.ST,Asker Healthcare Group AB,0,0,Unknown,OMX Stockholm
PNDX-B.ST,Pandox AB (publ),0,0,Unknown,OMX Stockholm
HPOL-B.ST,HEXPOL AB (publ),0,0,Unknown,OMX Stockholm
ROKO-B.ST,Röko AB (publ),0,0,Unknown,OMX Stockholm
WIHL.ST,Wihlborgs Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
HUSQ-A.ST,Husqvarna AB (publ),0,0,Unknown,OMX Stockholm
HUSQ-B.ST,Husqvarna AB (publ),0,0,Unknown,OMX Stockholm
WALL-B.ST,Wallenstam AB (publ),0,0,Unknown,OMX Stockholm
LOOMIS.ST,Loomis AB (publ),0,0,Unknown,OMX Stockholm
ASMDEE-B.ST,Asmodee Group AB (publ),0,0,Unknown,OMX Stockholm
THULE.ST,Thule Group AB (publ),0,0,Unknown,OMX Stockholm
CATE.ST,Catena AB (publ),0,0,Unknown,OMX Stockholm
HUFV-A.ST,Hufvudstaden AB (publ),0,0,Unknown,OMX Stockholm
SINCH.ST,Sinch AB (publ),0,0,Unknown,OMX Stockholm
FABG.ST,Fabege AB (publ),0,0,Unknown,OMX Stockholm
HEM.ST,Hemnet Group AB (publ),0,0,Unknown,OMX Stockholm
CLAS-B.ST,Clas Ohlson AB (publ),0,0,Unknown,OMX Stockholm
BIOA-B.ST,BioArctic AB (publ),0,0,Unknown,OMX Stockholm
ALIF-B.ST,AddLife AB (publ),0,0,Unknown,OMX Stockholm
MTRS.ST,Munters Group AB (publ),0,0,Unknown,OMX Stockholm
KINV-A.ST,Kinnevik AB,0,0,Unknown,OMX Stockholm
KINV-B.ST,Kinnevik AB,0,0,Unknown,OMX Stockholm
PEAB-B.ST,Peab AB (publ),0,0,Unknown,OMX Stockholm
HMS.ST,HMS Networks AB (publ),0,0,Unknown,OMX Stockholm
NCC-A.ST,NCC AB (publ),0,0,Unknown,OMX Stockholm
NCC-B.ST,NCC AB (publ),0,0,Unknown,OMX Stockholm
BILL.ST,Billerud AB (publ),0,0,Unknown,OMX Stockholm
HACK.ST,Hacksaw AB (publ),0,0,Unknown,OMX Stockholm
EMBRAC-B.ST,Embracer Group AB (publ),0,0,Unknown,OMX Stockholm
BETS-B.ST,Betsson AB (publ),0,0,Unknown,OMX Stockholm
BURE.ST,Bure Equity AB (publ),0,0,Unknown,OMX Stockholm
TIETOS.ST,TietoEVRY Oyj,0,0,Unknown,OMX Stockholm
HAUTOO.ST,Höegh Autoliners ASA,0,0,Unknown,OMX Stockholm
ATRLJ-B.ST,Atrium Ljungberg AB (publ),0,0,Unknown,OMX Stockholm
BONEX.ST,Bonesupport Holding AB (publ),0,0,Unknown,OMX Stockholm
ARION-SDB.ST,Arion banki hf.,0,0,Unknown,OMX Stockholm
SHOT.ST,Scandic Hotels Group AB (publ),0,0,Unknown,OMX Stockholm
BRAV.ST,Bravida Holding AB (publ),0,0,Unknown,OMX Stockholm
PDX.ST,Paradox Interactive AB (publ),0,0,Unknown,OMX Stockholm
EKTA-B.ST,Elekta AB (publ),0,0,Unknown,OMX Stockholm
OEM-B.ST,OEM International AB (publ),0,0,Unknown,OMX Stockholm
VITR.ST,Vitrolife AB (publ),0,0,Unknown,OMX Stockholm
IPCO.ST,International Petroleum Corporation,0,0,Unknown,OMX Stockholm
BUFAB.ST,Bufab AB (publ),0,0,Unknown,OMX Stockholm
AQ.ST,AQ Group AB (publ),0,0,Unknown,OMX Stockholm
INTEA-B.ST,Intea Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
INTEA-D.ST,Intea Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
EPRO-B.ST,Electrolux Professional AB (publ),0,0,Unknown,OMX Stockholm
AFRY.ST,Afry AB,0,0,Unknown,OMX Stockholm
ALLEI.ST,Alleima AB (publ),0,0,Unknown,OMX Stockholm
SYSR.ST,Systemair AB (publ),0,0,Unknown,OMX Stockholm
ALIG.ST,Alimak Group AB (publ),0,0,Unknown,OMX Stockholm
NYF.ST,Nyfosa AB (publ),0,0,Unknown,OMX Stockholm
NOLA-B.ST,Nolato AB (publ),0,0,Unknown,OMX Stockholm
VIMIAN.ST,Vimian Group AB (publ),0,0,Unknown,OMX Stockholm
DOM.ST,Dometic Group AB (publ),0,0,Unknown,OMX Stockholm
BEIA-B.ST,Beijer Alma AB (publ),0,0,Unknown,OMX Stockholm
LIAB.ST,Lindab International AB (publ),0,0,Unknown,OMX Stockholm
STOR-B.ST,Storskogen Group AB (publ),0,0,Unknown,OMX Stockholm
NP3.ST,NP3 Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
ANOD-B.ST,Addnode Group AB (publ),0,0,Unknown,OMX Stockholm
IVSO.ST,Invisio AB (publ),0,0,Unknown,OMX Stockholm
TRUE-B.ST,Truecaller AB (publ),0,0,Unknown,OMX Stockholm
NEWA-B.ST,New Wave Group AB (publ),0,0,Unknown,OMX Stockholm
ELUX-A.ST,AB Electrolux (publ),0,0,Unknown,OMX Stockholm
ELUX-B.ST,AB Electrolux (publ),0,0,Unknown,OMX Stockholm
NORION.ST,Norion Bank AB (publ),0,0,Unknown,OMX Stockholm
CIBUS.ST,Cibus Nordic Real Estate AB (publ),0,0,Unknown,OMX Stockholm
VIT-B.ST,Vitec Software Group AB (publ),0,0,Unknown,OMX Stockholm
GRNG.ST,Gränges AB (publ),0,0,Unknown,OMX Stockholm
DYVOX.ST,Dynavox Group AB (publ),0,0,Unknown,OMX Stockholm
KAR.ST,Karnov Group AB (publ),0,0,Unknown,OMX Stockholm
MTG-B.ST,Modern Times Group MTG AB,0,0,Unknown,OMX Stockholm
SKIS-B.ST,SkiStar AB (publ),0,0,Unknown,OMX Stockholm
MTG-A.ST,Modern Times Group MTG AB,0,0,Unknown,OMX Stockholm
ENGCON-B.ST,engcon AB (publ),0,0,Unknown,OMX Stockholm
RATO-B.ST,Ratos AB (publ),0,0,Unknown,OMX Stockholm
RATO-A.ST,Ratos AB (publ),0,0,Unknown,OMX Stockholm
CORE-B.ST,Corem Property Group AB (publ),0,0,Unknown,OMX Stockholm
CORE-D.ST,Corem Property Group AB (publ),0,0,Unknown,OMX Stockholm
CORE-A.ST,Corem Property Group AB (publ),0,0,Unknown,OMX Stockholm
YUBICO.ST,Yubico AB,0,0,Unknown,OMX Stockholm
TFBANK.ST,TF Bank AB (publ),0,0,Unknown,OMX Stockholm
INWI.ST,Inwido AB (publ),0,0,Unknown,OMX Stockholm
BILI-A.ST,Bilia AB (publ),0,0,Unknown,OMX Stockholm
AMBEA.ST,Ambea AB (publ),0,0,Unknown,OMX Stockholm
BIOG-B.ST,BioGaia AB (publ),0,0,Unknown,OMX Stockholm
SLP-B.ST,Swedish Logistic Property AB,0,0,Unknown,OMX Stockholm
FPAR-D.ST,FastPartner AB (publ),0,0,Unknown,OMX Stockholm
CRED-A.ST,Creades AB,0,0,Unknown,OMX Stockholm
NCAB.ST,NCAB Group AB (publ),0,0,Unknown,OMX Stockholm
FPAR-A.ST,FastPartner AB (publ),0,0,Unknown,OMX Stockholm
MIPS.ST,Mips AB (publ),0,0,Unknown,OMX Stockholm
ATT.ST,Attendo AB (publ),0,0,Unknown,OMX Stockholm
APOTEA.ST,Apotea AB (publ),0,0,Unknown,OMX Stockholm
RUSTA.ST,Rusta AB (publ),0,0,Unknown,OMX Stockholm
ACAD.ST,AcadeMedia AB (publ),0,0,Unknown,OMX Stockholm
CLA-B.ST,Cloetta AB (publ),0,0,Unknown,OMX Stockholm
DIOS.ST,Diös Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
SBB-B.ST,Samhällsbyggnadsbolaget i Norden AB (publ),0,0,Unknown,OMX Stockholm
SBB-D.ST,Samhällsbyggnadsbolaget i Norden AB (publ),0,0,Unknown,OMX Stockholm
BERG-B.ST,Bergman & Beving AB (publ),0,0,Unknown,OMX Stockholm
ARJO-B.ST,Arjo AB (publ),0,0,Unknown,OMX Stockholm
BWEO.ST,BW Energy Limited,0,0,Unknown,OMX Stockholm
CS.ST,CoinShares International Limited,0,0,Unknown,OMX Stockholm
MCAP.ST,MedCap AB (publ),0,0,Unknown,OMX Stockholm
SYNSAM.ST,Synsam AB (publ),0,0,Unknown,OMX Stockholm
MILDEF.ST,MilDef Group AB (publ),0,0,Unknown,OMX Stockholm
JM.ST,JM AB (publ),0,0,Unknown,OMX Stockholm
VOLO.ST,Volati AB (publ),0,0,Unknown,OMX Stockholm
RAY-B.ST,RaySearch Laboratories AB (publ),0,0,Unknown,OMX Stockholm
MER.ST,Meren Energy Inc.,0,0,Unknown,OMX Stockholm
PLAZ-B.ST,Platzer Fastigheter Holding AB (publ),0,0,Unknown,OMX Stockholm
TROAX.ST,Troax Group AB (publ),0,0,Unknown,OMX Stockholm
HOFI.ST,Hoist Finance AB (publ),0,0,Unknown,OMX Stockholm
MMGR-B.ST,Momentum Group AB (publ),0,0,Unknown,OMX Stockholm
VBG-B.ST,VBG Group AB (publ),0,0,Unknown,OMX Stockholm
SVEAF.ST,Sveafastigheter AB (publ),0,0,Unknown,OMX Stockholm
LOGI-A.ST,Logistea AB (publ),0,0,Unknown,OMX Stockholm
LOGI-B.ST,Logistea AB (publ),0,0,Unknown,OMX Stockholm
FAG.ST,Fagerhult Group AB,0,0,Unknown,OMX Stockholm
EMIL-B.ST,Fastighetsbolaget Emilshus AB (publ),0,0,Unknown,OMX Stockholm
INSTAL.ST,Instalco AB (publ),0,0,Unknown,OMX Stockholm
VPLAY-A.ST,Viaplay Group AB (publ),0,0,Unknown,OMX Stockholm
SDIP-B.ST,Sdiptech AB (publ),0,0,Unknown,OMX Stockholm
VPLAY-B.ST,Viaplay Group AB (publ),0,0,Unknown,OMX Stockholm
FOI-B.ST,Fenix Outdoor International AG,0,0,Unknown,OMX Stockholm
BETCO.ST,Better Collective A/S,0,0,Unknown,OMX Stockholm
GOTL-A.ST,Rederiaktiebolaget Gotland (publ),0,0,Unknown,OMX Stockholm
GOTL-B.ST,Rederiaktiebolaget Gotland (publ),0,0,Unknown,OMX Stockholm
BAHN-B.ST,Bahnhof AB (publ),0,0,Unknown,OMX Stockholm
STEF-B.ST,Stendörren Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
SCST.ST,Scandi Standard AB (publ),0,0,Unknown,OMX Stockholm
SECARE.ST,Swedencare AB (publ),0,0,Unknown,OMX Stockholm
PLSVO.ST,Paratus Energy Services Ltd.,0,0,Unknown,OMX Stockholm
STORY-B.ST,Storytel AB (publ),0,0,Unknown,OMX Stockholm
INTRUM.ST,Intrum AB (publ),0,0,Unknown,OMX Stockholm
NMAN.ST,Nederman Holding AB (publ),0,0,Unknown,OMX Stockholm
BOOZT.ST,Boozt AB (publ),0,0,Unknown,OMX Stockholm
HANZA.ST,Hanza AB (publ),0,0,Unknown,OMX Stockholm
SVOL-A.ST,Svolder AB (publ),0,0,Unknown,OMX Stockholm
SVOL-B.ST,Svolder AB (publ),0,0,Unknown,OMX Stockholm
XVIVO.ST,Xvivo Perfusion AB (publ),0,0,Unknown,OMX Stockholm
ZZ-B.ST,Zinzino AB (publ),0,0,Unknown,OMX Stockholm
RESURS.ST,Resurs Holding AB (publ),0,0,Unknown,OMX Stockholm
NOTE.ST,NOTE AB (publ),0,0,Unknown,OMX Stockholm
ALLIGO-B.ST,Alligo AB (publ),0,0,Unknown,OMX Stockholm
HEBA-B.ST,Heba Fastighets AB (publ),0,0,Unknown,OMX Stockholm
RVRC.ST,RVRC Holding AB (publ),0,0,Unknown,OMX Stockholm
ORES.ST,Investment AB Öresund (publ),0,0,Unknown,OMX Stockholm
HAYPP.ST,Haypp Group AB (publ),0,0,Unknown,OMX Stockholm
INT.ST,Intellego Technologies AB,0,0,Unknown,OMX Stockholm
BHG.ST,BHG Group AB (publ),0,0,Unknown,OMX Stockholm
NYAB.ST,Nyab AB (publ),0,0,Unknown,OMX Stockholm
JOMA.ST,John Mattson Fastighetsföretagen AB (publ),0,0,Unknown,OMX Stockholm
VER.ST,Verve Group SE,0,0,Unknown,OMX Stockholm
MEKO.ST,Meko AB (publ),0,0,Unknown,OMX Stockholm
SNM.ST,ShaMaran Petroleum Corp.,0,0,Unknown,OMX Stockholm
EAST.ST,Eastnine AB (publ),0,0,Unknown,OMX Stockholm
SUS.ST,Surgical Science Sweden AB (publ),0,0,Unknown,OMX Stockholm
COOR.ST,Coor Service Management Holding AB,0,0,Unknown,OMX Stockholm
DUNI.ST,Duni AB (publ),0,0,Unknown,OMX Stockholm
ITAB.ST,ITAB Shop Concept AB (publ),0,0,Unknown,OMX Stockholm
ENITY.ST,Enity Holding AB (publ),0,0,Unknown,OMX Stockholm
ENVIPO.ST,Envipco Holding N.V.,0,0,Unknown,OMX Stockholm
KCCO.ST,Klaveness Combination Carriers ASA,0,0,Unknown,OMX Stockholm
LINC.ST,Linc AB,0,0,Unknown,OMX Stockholm
REJL-B.ST,Rejlers AB (publ),0,0,Unknown,OMX Stockholm
MEDIO.ST,Medistim ASA,0,0,Unknown,OMX Stockholm
CEVI.ST,CellaVision AB (publ),0,0,Unknown,OMX Stockholm
HTRO.ST,Hexatronic Group AB (publ),0,0,Unknown,OMX Stockholm
LIME.ST,Lime Technologies AB (publ),0,0,Unknown,OMX Stockholm
EPEN.ST,Ependion AB,0,0,Unknown,OMX Stockholm
IDUN-B.ST,Idun Industrier AB (publ),0,0,Unknown,OMX Stockholm
PRISMA.ST,Prisma Properties AB (publ),0,0,Unknown,OMX Stockholm
OVZON.ST,Ovzon AB (publ),0,0,Unknown,OMX Stockholm
NIVI-B.ST,Nivika Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
TRAC-B.ST,AB Traction,0,0,Unknown,OMX Stockholm
SFAST.ST,Stenhus Fastigheter i Norden AB (publ),0,0,Unknown,OMX Stockholm
KFAST-B.ST,K-Fast Holding AB (publ),0,0,Unknown,OMX Stockholm
HUMBLE.ST,Humble Group AB (publ),0,0,Unknown,OMX Stockholm
BRIN-B.ST,Brinova Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
TRIAN-B.ST,Fastighets AB Trianon (publ),0,0,Unknown,OMX Stockholm
BTS-B.ST,BTS Group AB (publ),0,0,Unknown,OMX Stockholm
XANO-B.ST,XANO Industri AB (publ),0,0,Unknown,OMX Stockholm
KAMBI.ST,Kambi Group plc,0,0,Unknown,OMX Stockholm
BMAX.ST,Byggmax Group AB (publ),0,0,Unknown,OMX Stockholm
VIVA.ST,Viva Wine Group AB,0,0,Unknown,OMX Stockholm
BONAV-A.ST,Bonava AB (publ),0,0,Unknown,OMX Stockholm
BONAV-B.ST,Bonava AB (publ),0,0,Unknown,OMX Stockholm
ACAST.ST,Acast AB (publ),0,0,Unknown,OMX Stockholm
VNV.ST,VNV Global AB (publ),0,0,Unknown,OMX Stockholm
FLERIE.ST,Flerie AB (publ),0,0,Unknown,OMX Stockholm
NPAPER.ST,Nordic Paper Holding AB (publ),0,0,Unknown,OMX Stockholm
KARNEL-B.ST,Karnell Group AB (publ),0,0,Unknown,OMX Stockholm
BRE2.ST,Bredband2 i Skandinavien AB (publ),0,0,Unknown,OMX Stockholm
SEYE.ST,Smart Eye AB (publ),0,0,Unknown,OMX Stockholm
VESTUM.ST,Vestum AB (publ),0,0,Unknown,OMX Stockholm
NOBI.ST,Nobia AB (publ),0,0,Unknown,OMX Stockholm
SVED-B.ST,Svedbergs Group AB (publ),0,0,Unknown,OMX Stockholm
GREEN.ST,Green Landscaping Group AB (publ),0,0,Unknown,OMX Stockholm
CTT.ST,CTT Systems AB (publ),0,0,Unknown,OMX Stockholm
KNOW.ST,Knowit AB (publ),0,0,Unknown,OMX Stockholm
CAT-A.ST,Catella AB (publ),0,0,Unknown,OMX Stockholm
CAT-B.ST,Catella AB (publ),0,0,Unknown,OMX Stockholm
NREST.ST,Nordrest Holding AB (publ),0,0,Unknown,OMX Stockholm
ABSO.ST,Absolent Air Care Group AB (publ),0,0,Unknown,OMX Stockholm
KBC.ST,KB Components AB (publ),0,0,Unknown,OMX Stockholm
SF.ST,Stillfront Group AB (publ),0,0,Unknown,OMX Stockholm
HNSA.ST,Hansa Biopharma AB (publ),0,0,Unknown,OMX Stockholm
TEQ.ST,Teqnion AB (publ),0,0,Unknown,OMX Stockholm
EQL.ST,EQL Pharma AB (publ),0,0,Unknown,OMX Stockholm
CRNO-B.ST,Cereno Scientific AB (publ),0,0,Unknown,OMX Stockholm
KLARA-B.ST,KlaraBo Sverige AB (publ),0,0,Unknown,OMX Stockholm
NELLY.ST,Nelly Group AB (publ),0,0,Unknown,OMX Stockholm
PACT.ST,Proact IT Group AB (publ),0,0,Unknown,OMX Stockholm
DVYSR.ST,Devyser Diagnostics AB (publ),0,0,Unknown,OMX Stockholm
FMM-B.ST,FM Mattsson AB (publ),0,0,Unknown,OMX Stockholm
NEOBO.ST,Neobo Fastigheter AB (publ),0,0,Unknown,OMX Stockholm
CINT.ST,Cint Group AB (publ),0,0,Unknown,OMX Stockholm
IAR-B.ST,IAR Systems Group AB (publ),0,0,Unknown,OMX Stockholm
VICO.ST,Vicore Pharma Holding AB (publ),0,0,Unknown,OMX Stockholm
FLAT-B.ST,Flat Capital AB (publ),0,0,Unknown,OMX Stockholm
BESQAB.ST,Besqab AB (publ),0,0,Unknown,OMX Stockholm
AGROUP.ST,Arlandastad Group AB (publ),0,0,Unknown,OMX Stockholm
DUST.ST,Dustin Group AB (publ),0,0,Unknown,OMX Stockholm
VERT-B.ST,Vertiseit AB (publ),0,0,Unknown,OMX Stockholm
VEFAB.ST,VEF AB (publ),0,0,Unknown,OMX Stockholm
XSPRAY.ST,Xspray Pharma AB (publ),0,0,Unknown,OMX Stockholm
LYKO-A.ST,Lyko Group AB (publ),0,0,Unknown,OMX Stockholm
GOMX.ST,GomSpace Group AB (publ),0,0,Unknown,OMX Stockholm
HUM.ST,Humana AB (publ),0,0,Unknown,OMX Stockholm
BINV.ST,BioInvent International AB (publ),0,0,Unknown,OMX Stockholm
ELAN-B.ST,Elanders AB (publ),0,0,Unknown,OMX Stockholm
KABE-B.ST,KABE Group AB (publ.),0,0,Unknown,OMX Stockholm
STIL.ST,Stille AB,0,0,Unknown,OMX Stockholm
FG.ST,Fasadgruppen Group AB (publ),0,0,Unknown,OMX Stockholm
CARA.ST,Carasent AB (publ),0,0,Unknown,OMX Stockholm
EWRK.ST,Ework Group AB (publ),0,0,Unknown,OMX Stockholm
EXS.ST,Exsitec Holding AB (publ),0,0,Unknown,OMX Stockholm
EGTX.ST,Egetis Therapeutics AB (publ),0,0,Unknown,OMX Stockholm
AJA-B.ST,Byggmästare Anders J Ahlström Holding AB (publ),0,0,Unknown,OMX Stockholm
GPG.ST,Genova Property Group AB (publ),0,0,Unknown,OMX Stockholm
PAX.ST,Paxman AB (publ),0,0,Unknown,OMX Stockholm
NETI-B.ST,Net Insight AB (publ),0,0,Unknown,OMX Stockholm
VISC.ST,Gruvaktiebolaget Viscaria,0,0,Unknown,OMX Stockholm
DICOT.ST,Dicot Pharma AB,0,0,Unknown,OMX Stockholm
OSSD.ST,OssDsign AB (publ),0,0,Unknown,OMX Stockholm
SVIK.ST,Studsvik AB (publ),0,0,Unknown,OMX Stockholm
SANION.ST,Saniona AB (publ),0,0,Unknown,OMX Stockholm
ANNE-B.ST,Annehem Fastigheter AB,0,0,Unknown,OMX Stockholm
PCELL.ST,PowerCell Sweden AB (publ),0,0,Unknown,OMX Stockholm
BORG.ST,Björn Borg AB (publ),0,0,Unknown,OMX Stockholm
GENO.ST,Genovis AB (publ.),0,0,Unknown,OMX Stockholm
ARP.ST,Arctic Paper S.A.,0,0,Unknown,OMX Stockholm
RUG.ST,RugVista Group AB (publ),0,0,Unknown,OMX Stockholm
DMYD-B.ST,Diamyd Medical AB (publ),0,0,Unknown,OMX Stockholm
FPIP.ST,Formpipe Software AB (publ),0,0,Unknown,OMX Stockholm
BICO.ST,BICO Group AB (publ),0,0,Unknown,OMX Stockholm
ELTEL.ST,Eltel AB (publ),0,0,Unknown,OMX Stockholm
TRAIN-B.ST,Train Alliance AB (publ),0,0,Unknown,OMX Stockholm
SES.ST,Scandinavian Enviro Systems AB (publ),0,0,Unknown,OMX Stockholm
ENEA.ST,Enea AB (publ),0,0,Unknown,OMX Stockholm
VSSAB-B.ST,Viking Supply Ships AB (publ),0,0,Unknown,OMX Stockholm
SALT-B.ST,SaltX Technology Holding AB (publ),0,0,Unknown,OMX Stockholm
MAHA-A.ST,Maha Capital AB (publ),0,0,Unknown,OMX Stockholm
BYGGP.ST,ByggPartner Gruppen AB (publ),0,0,Unknown,OMX Stockholm
BERNER-B.ST,Berner Industrier AB,0,0,Unknown,OMX Stockholm
STUDBO.ST,Studentbostäder i Norden AB (publ),0,0,Unknown,OMX Stockholm
ARISE.ST,Arise AB (publ),0,0,Unknown,OMX Stockholm
SFAB.ST,Solid Försäkringsaktiebolag (publ),0,0,Unknown,OMX Stockholm
CLAV.ST,Clavister Holding AB (publ.),0,0,Unknown,OMX Stockholm
SEDANA.ST,Sedana Medical AB (publ),0,0,Unknown,OMX Stockholm
ORRON.ST,Orrön Energy AB (publ),0,0,Unknown,OMX Stockholm
FNOVA-B.ST,Fortinova Fastigheter AB (Publ),0,0,Unknown,OMX Stockholm
NORSEO.ST,Norse Atlantic ASA,0,0,Unknown,OMX Stockholm
