ticker,name,market_cap,price,sector,market
CAST,FreeCast Inc,54.45B,107.95,Unknown,OMX Stockholm
LAGR.B,Lagercrantz Group AB (publ),46.42B,226.40,Unknown,OMX Stockholm
FROO,Frontline plc,43.68B,212.70,Unknown,OMX Stockholm
CAMX,Cambiar Aggressive Value ETF,42.37B,726.50,Unknown,OMX Stockholm
MYCR,Mycronic AB (publ),41.28B,216.55,Unknown,OMX Stockholm
MCOV.B,Medicover AB (publ),40.69B,267.00,Unknown,OMX Stockholm
ASKER,Asker Healthcare Group AB,37.84B,99.62,Unknown,OMX Stockholm
PNDX.B,Pandox AB (publ),33.71B,175.60,Unknown,OMX Stockholm
ROKO.B,Röko AB (publ),32.77B,"2,265.50",Unknown,OMX Stockholm
HUSQ.A,Husqvarna AB (publ),31.39B,54.50,Unknown,OMX Stockholm
HUSQ.B,Husqvarna AB (publ),31.24B,55.42,Unknown,OMX Stockholm
WIHL,Wihlborgs Fastigheter AB (publ),29.96B,94.80,Unknown,OMX Stockholm
HPOL.B,HEXPOL AB (publ),29.35B,85.60,Unknown,OMX Stockholm
THULE,Thule Group AB (publ),29.12B,270.00,Unknown,OMX Stockholm
WALL.B,Wallenstam AB (publ),28.98B,45.94,Unknown,OMX Stockholm
LOOMIS,Loomis AB (publ),28.31B,410.00,Unknown,OMX Stockholm
ASMDEE.B,Asmodee Group AB (publ),27.55B,114.16,Unknown,OMX Stockholm
BIOA.B,BioArctic AB (publ),27.36B,309.00,Unknown,OMX Stockholm
CATE,Catena AB (publ),27.32B,440.60,Unknown,OMX Stockholm
FABG,Fabege AB (publ),26.24B,83.40,Unknown,OMX Stockholm
HUFV.A,Hufvudstaden AB (publ),25.53B,126.20,Unknown,OMX Stockholm
HEM,Hemnet Group AB (publ),24.98B,263.80,Unknown,OMX Stockholm
SINCH,Sinch AB (publ),24.93B,29.71,Unknown,OMX Stockholm
KINV.B,Kinnevik AB,24.48B,86.38,Unknown,OMX Stockholm
KINV.A,Kinnevik AB,24.48B,89.50,Unknown,OMX Stockholm
MTRS,Metros Development Co Ltd,23.86B,131.30,Unknown,OMX Stockholm
HMS,HMS Networks AB (publ),22.69B,453.00,Unknown,OMX Stockholm
BILL,"BILL Holdings, Inc.",5062746624.0,90.25,Technology,OMX Stockholm
BETS.B,Betsson AB (publ),22.43B,162.50,Unknown,OMX Stockholm
CLAS.B,Clas Ohlson AB (publ),22.02B,337.60,Unknown,OMX Stockholm
ALIF.B,AddLife AB (publ),21.63B,176.70,Unknown,OMX Stockholm
PEAB.B,Peab AB (publ),21.36B,74.95,Unknown,OMX Stockholm
BURE,Bure Equity AB (publ),21.10B,287.40,Unknown,OMX Stockholm
TIETOS,TietoEVRY Oyj,21.09B,177.40,Unknown,OMX Stockholm
HAUTOO,Höegh Autoliners ASA,20.79B,117.90,Unknown,OMX Stockholm
ATRLJ.B,Atrium Ljungberg AB (publ),20.48B,31.67,Unknown,OMX Stockholm
IPCO,International Petroleum Corporation,20.13B,176.40,Unknown,OMX Stockholm
SYSR,Systemair AB (publ),19.53B,88.00,Unknown,OMX Stockholm
EMBRAC.B,Embracer Group AB (publ),19.44B,84.85,Unknown,OMX Stockholm
BONEX,Bonesupport Holding AB (publ),19.42B,312.80,Unknown,OMX Stockholm
SHOT,"Safety Shot, Inc.",58019236.0,88.70,Consumer Defensive,OMX Stockholm
PDX,PIMCO Dynamic Income Strategy Fund,1093754368.0,174.40,Financial Services,OMX Stockholm
BRAV,BRAVADA International Ltd,187456.0,91.85,Consumer Cyclical,OMX Stockholm
NCC.A,NCC AB (publ),18.77B,195.00,Unknown,OMX Stockholm
NCC.B,NCC AB (publ),18.77B,195.20,Unknown,OMX Stockholm
EKTA.B,Elekta AB (publ),18.70B,46.64,Unknown,OMX Stockholm
ARION.SDB,Arion banki hf.,18.52B,13.55,Unknown,OMX Stockholm
OEM.B,OEM International AB (publ),18.30B,131.80,Unknown,OMX Stockholm
VITR,57520,18.17B,137.70,Unknown,OMX Stockholm
BUFAB,Bufab AB (publ),18.10B,95.15,Unknown,OMX Stockholm
NYF,iShares New York Muni Bond ETF,18.06B,84.00,Unknown,OMX Stockholm
INTEA.B,Intea Fastigheter AB (publ),18.04B,73.90,Unknown,OMX Stockholm
INTEA.D,Intea Fastigheter AB (publ),18.04B,37.40,Unknown,OMX Stockholm
AQ,AQ Group AB (publ),17.80B,195.70,Unknown,OMX Stockholm
EPRO.B,Electrolux Professional AB (publ),17.70B,61.60,Unknown,OMX Stockholm
ALLEI,Alleima AB (publ),17.49B,70.10,Unknown,OMX Stockholm
DOM,29517,17.09B,53.30,Unknown,OMX Stockholm
AFRY,Afry AB,17.06B,150.60,Unknown,OMX Stockholm
VIMIAN,Vimian Group AB (publ),17.01B,31.56,Unknown,OMX Stockholm
STOR.B,Storskogen Group AB (publ),16.77B,10.02,Unknown,OMX Stockholm
ALIG,Alimak Group AB (publ),16.76B,158.20,Unknown,OMX Stockholm
LIAB,LifeX 2048 Inflation-Protected Longevity Income ETF,16.18B,211.80,Unknown,OMX Stockholm
NP3,NP3 Fastigheter AB (publ),16.13B,254.50,Unknown,OMX Stockholm
NOLA.B,Nolato AB (publ),15.52B,57.55,Unknown,OMX Stockholm
ELUX.A,AB Electrolux (publ),15.38B,73.00,Unknown,OMX Stockholm
ELUX.B,AB Electrolux (publ),15.38B,57.22,Unknown,OMX Stockholm
BEIA.B,Beijer Alma AB (publ),15.28B,253.50,Unknown,OMX Stockholm
TRUE.B,Truecaller AB (publ),15.17B,45.16,Unknown,OMX Stockholm
ANOD.B,Addnode Group AB (publ),14.88B,111.40,Unknown,OMX Stockholm
GRNG,Gränges AB (publ),14.79B,140.00,Unknown,OMX Stockholm
VIT.B,Vitec Software Group AB (publ),14.78B,370.20,Unknown,OMX Stockholm
IVSO,Invisio AB (publ),14.29B,313.50,Unknown,OMX Stockholm
CIBUS,Cibus Nordic Real Estate AB (publ),14.23B,172.40,Unknown,OMX Stockholm
NEWA.B,New Wave Group AB (publ),14.14B,107.00,Unknown,OMX Stockholm
NORION,Norion Bank AB (publ),14.13B,69.30,Unknown,OMX Stockholm
DYVOX,Dynavox Group AB (publ),13.58B,127.10,Unknown,OMX Stockholm
KAR,"OPENLANE, Inc.",3071654144.0,117.20,Consumer Cyclical,OMX Stockholm
SKIS.B,SkiStar AB (publ),12.40B,157.40,Unknown,OMX Stockholm
RATO.B,Ratos AB (publ),11.96B,36.26,Unknown,OMX Stockholm
