ticker,name,market_cap,price,sector,market
CAST,Castellum AB (publ),55.29B,111.45,Unknown,OMX Stockholm
LAGR.B,Lagercrantz Group AB (publ),47.20B,227.60,Unknown,OMX Stockholm
MYCR,Mycronic AB (publ),41.78B,213.25,Unknown,OMX Stockholm
CAMX,Camurus AB (publ),41.09B,691.50,Unknown,OMX Stockholm
MCOV.B,Medicover AB (publ),40.92B,271.00,Unknown,OMX Stockholm
FROO,Frontline plc,40.62B,191.00,Unknown,OMX Stockholm
ASKER,Asker Healthcare Group AB,37.36B,100.58,Unknown,OMX Stockholm
ROKO.B,Röko AB (publ),33.81B,"2,312.00",Unknown,OMX Stockholm
PNDX.B,Pandox AB (publ),33.67B,172.80,Unknown,OMX Stockholm
HUSQ.A,Husqvarna AB (publ),32.73B,56.90,Unknown,OMX Stockholm
HUSQ.B,Husqvarna AB (publ),32.36B,56.68,Unknown,OMX Stockholm
THULE,Thule Group AB (publ),30.41B,282.00,Unknown,OMX Stockholm
WIHL,Wihlborgs Fastigheter AB (publ),29.42B,95.50,Unknown,OMX Stockholm
HPOL.B,HEXPOL AB (publ),29.00B,84.20,Unknown,OMX Stockholm
WALL.B,Wallenstam AB (publ),28.89B,44.72,Unknown,OMX Stockholm
LOOMIS,Loomis AB (publ),28.77B,421.80,Unknown,OMX Stockholm
CATE,Catena AB (publ),27.36B,453.20,Unknown,OMX Stockholm
ASMDEE.B,Asmodee Group AB (publ),27.33B,116.50,Unknown,OMX Stockholm
FABG,Fabege AB (publ),26.80B,84.65,Unknown,OMX Stockholm
HEM,Hemnet Group AB (publ),25.24B,264.80,Unknown,OMX Stockholm
SINCH,Sinch AB (publ),25.03B,29.57,Unknown,OMX Stockholm
HUFV.A,Hufvudstaden AB (publ),24.54B,125.10,Unknown,OMX Stockholm
KINV.B,Kinnevik AB,24.49B,85.64,Unknown,OMX Stockholm
KINV.A,Kinnevik AB,24.37B,94.00,Unknown,OMX Stockholm
MTRS,Munters Group AB (publ),24.35B,131.90,Unknown,OMX Stockholm
HMS,HMS Networks AB (publ),22.34B,440.80,Unknown,OMX Stockholm
CLAS.B,Clas Ohlson AB (publ),22.21B,350.00,Unknown,OMX Stockholm
BETS.B,Betsson AB (publ),22.14B,160.60,Unknown,OMX Stockholm
BILL,Billerud AB (publ),21.89B,88.40,Unknown,OMX Stockholm
PEAB.B,Peab AB (publ),21.79B,75.80,Unknown,OMX Stockholm
BIOA.B,BioArctic AB (publ),21.14B,238.80,Unknown,OMX Stockholm
BURE,Bure Equity AB (publ),21.07B,283.60,Unknown,OMX Stockholm
ALIF.B,AddLife AB (publ),20.92B,172.60,Unknown,OMX Stockholm
TIETOS,TietoEVRY Oyj,20.33B,172.00,Unknown,OMX Stockholm
ATRLJ.B,Atrium Ljungberg AB (publ),20.18B,31.76,Unknown,OMX Stockholm
