ticker,name,sector,market_cap,market
009140.KS,경인전자,기타,0,KOSPI
013580.KS,계룡건설,기타,0,KOSPI
012205.KS,계양전기우,기타,0,KOSPI
012200.KS,계양전기,기타,0,KOSPI
002140.KS,고려산업,기타,0,KOSPI
010130.KS,고려아연,기타,0,KOSPI
002240.KS,고려제강,기타,0,KOSPI
009290.KS,광동제약,기타,0,KOSPI
017040.KS,광명전기,기타,0,KOSPI
017900.KS,광전자,기타,0,KOSPI
037710.KS,광주신세계,기타,0,KOSPI
030610.KS,교보증권,기타,0,KOSPI
339770.KS,교촌에프앤비,기타,0,KOSPI
007690.KS,국도화학,기타,0,KOSPI
001140.KS,국보,기타,0,KOSPI
002720.KS,국제약품,기타,0,KOSPI
114090.KS,GKL,기타,0,KOSPI
083420.KS,그린케미칼,기타,0,KOSPI
014530.KS,극동유화,기타,0,KOSPI
014285.KS,금강공업우,기타,0,KOSPI
014280.KS,금강공업,기타,0,KOSPI
008870.KS,금비,기타,0,KOSPI
001570.KS,금양,기타,0,KOSPI
002995.KS,금호건설우,기타,0,KOSPI
002990.KS,금호건설,기타,0,KOSPI
011785.KS,금호석유화학우,기타,0,KOSPI
011780.KS,금호석유화학,기타,0,KOSPI
214330.KS,금호에이치티,기타,0,KOSPI
001210.KS,금호전기,기타,0,KOSPI
073240.KS,금호타이어,기타,0,KOSPI
092440.KS,기신정기,기타,0,KOSPI
000270.KS,기아,기타,0,KOSPI
013700.KS,까뮤이앤씨,기타,0,KOSPI
004545.KS,깨끗한나라우,기타,0,KOSPI
004540.KS,깨끗한나라,기타,0,KOSPI
030190.KS,NICE평가정보,기타,0,KOSPI
001260.KS,남광토건,기타,0,KOSPI
008355.KS,남선알미우,기타,0,KOSPI
008350.KS,남선알미늄,기타,0,KOSPI
004270.KS,남성,기타,0,KOSPI
003925.KS,남양유업우,기타,0,KOSPI
003920.KS,남양유업,기타,0,KOSPI
025860.KS,남해화학,기타,0,KOSPI
005725.KS,넥센우,기타,0,KOSPI
005720.KS,넥센,기타,0,KOSPI
002355.KS,넥센타이어1우B,기타,0,KOSPI
002350.KS,넥센타이어,기타,0,KOSPI
092790.KS,넥스틸,기타,0,KOSPI
251270.KS,넷마블,기타,0,KOSPI
090355.KS,노루페인트우,기타,0,KOSPI
090350.KS,노루페인트,기타,0,KOSPI
000325.KS,노루홀딩스우,기타,0,KOSPI
000320.KS,노루홀딩스,기타,0,KOSPI
006280.KS,녹십자,기타,0,KOSPI
005257.KS,녹십자홀딩스2우,기타,0,KOSPI
005250.KS,녹십자홀딩스,기타,0,KOSPI
004370.KS,농심,기타,0,KOSPI
072710.KS,농심홀딩스,기타,0,KOSPI
058730.KS,다스코,기타,0,KOSPI
030210.KS,다올투자증권,기타,0,KOSPI
023590.KS,다우기술,기타,0,KOSPI
145210.KS,다이나믹디자인,기타,0,KOSPI
483650.KS,달바글로벌,기타,0,KOSPI
019680.KS,대교,기타,0,KOSPI
019685.KS,대교우B,기타,0,KOSPI
006370.KS,대구백화점,기타,0,KOSPI
000806.KS,대덕1우,기타,0,KOSPI
008060.KS,대덕,기타,0,KOSPI
353200.KS,대덕전자,기타,0,KOSPI
035320.KS,대덕전자1우,기타,0,KOSPI
000490.KS,대동,기타,0,KOSPI
008110.KS,대동전자,기타,0,KOSPI
005750.KS,대림바스,기타,0,KOSPI
006570.KS,대림통상,기타,0,KOSPI
001685.KS,대상우,기타,0,KOSPI
001680.KS,대상,기타,0,KOSPI
084695.KS,대상홀딩스우,기타,0,KOSPI
084690.KS,대상홀딩스,기타,0,KOSPI
128820.KS,대성산업,기타,0,KOSPI
117580.KS,대성에너지,기타,0,KOSPI
016710.KS,대성홀딩스,기타,0,KOSPI
000030.KS,대신밸류리츠,기타,0,KOSPI
003545.KS,대신증권우,기타,0,KOSPI
003547.KS,대신증권2우B,기타,0,KOSPI
003540.KS,대신증권,기타,0,KOSPI
009190.KS,대양금속,기타,0,KOSPI
014160.KS,대영포장,기타,0,KOSPI
047040.KS,대우건설,기타,0,KOSPI
003090.KS,대웅,기타,0,KOSPI
069620.KS,대웅제약,기타,0,KOSPI
000430.KS,대원강업,기타,0,KOSPI
006345.KS,대원전선우,기타,0,KOSPI
006340.KS,대원전선,기타,0,KOSPI
003220.KS,대원제약,기타,0,KOSPI
024890.KS,대원화성,기타,0,KOSPI
002880.KS,대유에이텍,기타,0,KOSPI
015230.KS,대창단조,기타,0,KOSPI
012800.KS,대창,기타,0,KOSPI
001070.KS,대한방직,기타,0,KOSPI
006650.KS,대한유화,기타,0,KOSPI
001440.KS,대한전선,기타,0,KOSPI
084010.KS,대한제강,기타,0,KOSPI
001795.KS,대한제당우,기타,0,KOSPI
001790.KS,대한제당,기타,0,KOSPI
001130.KS,대한제분,기타,0,KOSPI
439260.KS,대한조선,기타,0,KOSPI
003495.KS,대한항공우,기타,0,KOSPI
003490.KS,대한항공,기타,0,KOSPI
005880.KS,대한해운,기타,0,KOSPI
003830.KS,대한화섬,기타,0,KOSPI
016090.KS,대현,기타,0,KOSPI
069460.KS,대호에이엘,기타,0,KOSPI
475560.KS,더본코리아,기타,0,KOSPI
192080.KS,더블유게임즈,기타,0,KOSPI
012510.KS,더존비즈온,기타,0,KOSPI
004835.KS,덕성우,기타,0,KOSPI
